"subject","trial","SCR_delta","SCL_delta","RR_delta","IBI_delta","RSA_delta","MAP_delta","LVET_delta","CO_delta","PEP_delta","TPR_delta"
"sub-240",1," 1.16519311","-0.96569224","-0.1613672293"," 0.61386998"," 0.11741018","-0.20318367","-0.25794293"," 0.261811889"," 0.318959380"," 0.19524191"
"sub-240",2," 2.42641074","-0.03843846"," 1.04547504"," 1.154821788"," 0.986848144","-0.48301285","-0.07713742","-0.10011435"," 0.513516678"," 0.23640793"
"sub-240",3," 1.4804975","-0.178051277"," 1.417084373"," 0.24719289","-0.07266918","-0.73512439","-0.51623650"," 1.02710262"," 0.027123433","-0.041487052"
"sub-240",4,"-0.25367673","-0.11619175"," 0.19408480"," 0.7639908"," 0.07958799","-0.57351948","-0.02547871","-0.41167144"," 0.41623803"," 0.26946813"
"sub-241",1,"-0.80545944",NA,"-1.3513286272"," 0.63814388"," 1.14185751"," 0.23178959","-0.29022962","-0.489396801"," 0.197361069"," 0.47981973"
"sub-241",2,"-0.80545944",NA,"-0.84300251"," 0.479357188"," 0.057758471"," 0.38782033","-0.44520577","-0.43472603"," 0.294639718"," 0.50544719"
"sub-241",3,"-0.8054594",NA,"-0.049597454"," 0.74950332"," 0.54468823","-0.22673404","-0.34188834","-0.30257133"," 0.197361069"," 0.338118607"
"sub-241",4,"-0.80545944",NA,"-1.85503569"," 0.8269225"," 1.33252585","-1.10736693"," 0.04555203","-0.78476520"," 0.19736107"," 0.21805593"
"sub-243",1," 1.24401921"," 1.08236810","-0.7296420453"," 0.78111191"," 0.90580159"," 0.67484984"," 0.44590707","-0.152019639"," 0.002803771"," 0.36106195"
"sub-243",2,"-0.33250283","-0.62648028","-1.24098564"," 0.530864818"," 1.591735776"," 0.24098856"," 0.11012542","-0.66259091"," 0.586475665"," 0.49974967"
"sub-243",3," 0.6134104"," 1.520337922"," 0.059472710"," 0.48314925","-0.65591152","-0.19078615"," 0.08429606","-0.80692799"," 0.489197016"," 0.451464398"
"sub-243",4,"-0.64780724","-1.28329625"," 0.14533534"," 0.7360752"," 0.23254722","-0.05560616"," 0.21344285","-0.67356865"," 0.58647566"," 0.41976723"
"sub-245",1,"-0.96311165","-0.98627634"," 0.3481245972","-0.07957865","-0.26292771"," 1.05565729","-1.00053696","-1.352738431"," 0.537836340"," 0.95652754"
"sub-245",2,"-0.96311165",NA," 0.17054367","-0.481367537"," 0.318892012"," 0.36079128","-0.76807274","-1.11568496","-0.629507448"," 0.69610338"
"sub-245",3,"-0.9631116",NA," 1.166269589"," 0.44016298","-0.32676820","-0.56640517","-0.04485073","-0.18730256","-0.143114203"," 0.204236215"
"sub-245",4,"-0.64780724",NA," 0.78489386","-0.7575321","-0.42323259","-0.19185637","-0.81973146"," 0.11287501","-0.92134340"," 0.23516937"
"sub-246",1,"-0.72663334","-0.38467017"," 0.4594001245"," 0.15666989"," 0.11086428"," 0.46653277"," 0.90437817"," 0.373662236"," 0.416238029","-2.11195857"
"sub-246",2,"-0.09602452","-0.32370204"," 1.70364183","-0.508273827","-1.106020899","-0.45629550"," 0.54276716"," 0.63343031","-0.264712514","-2.75252044"
"sub-246",3,"-1.0419377","-0.350099135"," 0.156414034","-0.32817770","-0.20749465"," 0.13514661"," 1.26598917"," 0.82585599","-0.264712514","-2.827783014"
"sub-246",4," 1.32284531","-0.47822471"," 0.70216647"," 0.3469778"," 0.12813719","-0.61378946"," 0.46527909"," 0.48949658","-1.23749900","-2.77316908"
"sub-248",1," 0.45575819","-0.15582524","-0.9256939115","-0.33152227","-0.75484891"," 0.44393523","-1.16842778"," 0.321248204"," 0.975590261"," 0.00956649"
"sub-248",2," 1.08636701","-0.08619543","-1.00105025","-0.436697612","-0.168706831","-0.35220037","-0.96179292"," 1.12756619"," 0.391918367","-0.46380569"
